	Views	Protein	Species	E-value	% identity	Align len	Strands	Query ID	Query from	Query to	Target from	Target to	Bitscore	# identical	Positives	Gaps	Query len	Target len
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.01G019400.2.p	Glyma.01G019400.2.p	G.max Wm82.a4.v1	6.59e-20	44	103	+/+	AT3G62100.1	80	166	236	338	87.4261	45	61	16	172	360
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT2G33310.2	AT2G33310.2	A.thaliana Araport11	7.47e-20	48	94	+/+	AT3G62100.1	84	166	131	222	85.8853	45	61	13	172	248
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT2G33310.1	AT2G33310.1	A.thaliana Araport11	7.57e-20	48	94	+/+	AT3G62100.1	84	166	130	221	85.5001	45	61	13	172	247
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT2G33310.3	AT2G33310.3	A.thaliana Araport11	7.57e-20	48	94	+/+	AT3G62100.1	84	166	130	221	85.5001	45	61	13	172	247
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.08G036400.2.p	Glyma.08G036400.2.p	G.max Wm82.a4.v1	8.42e-20	43	104	+/+	AT3G62100.1	81	169	173	276	86.2705	45	60	15	172	291
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.08G190800.1.p	GlysoPI483463.08G190800.1.p	G.soja v1.1	1.09e-19	49	86	+/+	AT3G62100.1	83	168	87	171	83.9593	42	52	1	172	196
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.08G207900.1.p	Glyma.08G207900.1.p	G.max Wm82.a4.v1	1.09e-19	49	86	+/+	AT3G62100.1	83	168	87	171	83.9593	42	52	1	172	196
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.13G356600.1.p	Glyma.13G356600.1.p	G.max Wm82.a4.v1	1.21e-19	45	103	+/+	AT3G62100.1	81	168	186	288	86.2705	46	61	15	172	308
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.13G304400.1.p	GlysoPI483463.13G304400.1.p	G.soja v1.1	1.25e-19	44	103	+/+	AT3G62100.1	81	168	186	288	86.2705	45	61	15	172	308
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.15G016300.1.p	GlysoPI483463.15G016300.1.p	G.soja v1.1	1.30e-19	44	103	+/+	AT3G62100.1	81	168	198	300	86.2705	45	61	15	172	320
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.15G017500.1.p	Glyma.15G017500.1.p	G.max Wm82.a4.v1	1.30e-19	44	103	+/+	AT3G62100.1	81	168	198	300	86.2705	45	61	15	172	320
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G28640.2	AT4G28640.2	A.thaliana Araport11	1.46e-19	49	100	+/+	AT3G62100.1	82	169	136	235	85.8853	49	59	12	172	303
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT1G52830.1	AT1G52830.1	A.thaliana Araport11	1.77e-19	47	95	+/+	AT3G62100.1	75	168	86	177	83.5741	45	61	4	172	190
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.08G033800.1.p	GlysoPI483463.08G033800.1.p	G.soja v1.1	2.03e-19	44	104	+/+	AT3G62100.1	81	169	236	339	86.2705	46	59	15	172	358
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.08G036400.1.p	Glyma.08G036400.1.p	G.max Wm82.a4.v1	2.03e-19	44	104	+/+	AT3G62100.1	81	169	236	339	86.2705	46	59	15	172	358
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.13G361100.1.p	Glyma.13G361100.1.p	G.max Wm82.a4.v1	2.49e-19	46	87	+/+	AT3G62100.1	82	168	80	165	83.1889	40	53	1	172	190
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G04730.1	AT3G04730.1	A.thaliana Araport11	1.36e-151	100	236	+/+	AT3G04730.1	1	236	1	236	423.705	236	236	0	236	237
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj1g0008395.1	Lj1g0008395.1	L.japonicus Lj1.0v1	5.95e-95	67	244	+/+	AT3G04730.1	1	236	10	253	280.796	163	186	8	236	254
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.10G148900.1.p	GlysoPI483463.10G148900.1.p	G.soja v1.1	1.30e-93	65	240	+/+	AT3G04730.1	2	236	13	239	276.944	155	186	18	236	240
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G23050.1	AT3G23050.1	A.thaliana Araport11	8.73e-93	62	248	+/+	AT3G04730.1	1	236	5	243	275.018	153	182	21	236	244
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.10G180100.1.p	Glyma.10G180100.1.p	G.max Wm82.a4.v1	1.35e-92	64	240	+/+	AT3G04730.1	2	236	13	239	274.248	154	185	18	236	240
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g080860.1	Medtr1g080860.1	M.truncatula Mt4.0v1	8.52e-92	64	250	+/+	AT3G04730.1	1	236	14	253	272.707	160	178	24	236	254
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.20G173300.1.p	GlysoPI483463.20G173300.1.p	G.soja v1.1	1.73e-90	63	246	+/+	AT3G04730.1	2	236	11	243	269.24	156	187	24	236	244
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.10G162400.2.p	Glyma.10G162400.2.p	G.max Wm82.a4.v1	2.30e-90	62	255	+/+	AT3G04730.1	1	236	1	231	268.47	158	180	43	236	232
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G14550.1	AT4G14550.1	A.thaliana Araport11	4.53e-90	63	245	+/+	AT3G04730.1	2	236	1	228	267.7	154	182	27	236	229
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g093240.1	Medtr1g093240.1	M.truncatula Mt4.0v1	5.92e-90	64	242	+/+	AT3G04730.1	2	236	8	236	267.7	156	181	20	236	237
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj5g0010241.1	Lj5g0010241.1	L.japonicus Lj1.0v1	9.92e-90	66	243	+/+	AT3G04730.1	2	236	12	242	267.314	161	186	20	236	243
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.03G247400.1.p	Glyma.03G247400.1.p	G.max Wm82.a4.v1	1.11e-89	63	250	+/+	AT3G04730.1	1	236	10	243	266.929	158	177	30	236	244
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.03G205900.1.p	GlysoPI483463.03G205900.1.p	G.soja v1.1	3.37e-89	63	250	+/+	AT3G04730.1	1	236	10	243	265.774	158	177	30	236	244
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.10G133000.1.p	GlysoPI483463.10G133000.1.p	G.soja v1.1	3.39e-89	62	255	+/+	AT3G04730.1	1	236	1	231	265.388	157	179	43	236	232
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.20G210400.1.p	Glyma.20G210400.1.p	G.max Wm82.a4.v1	1.09e-88	62	250	+/+	AT3G04730.1	2	236	95	331	267.7	156	187	28	236	332
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.19G203200.1.p	GlysoPI483463.19G203200.1.p	G.soja v1.1	1.07e-86	63	238	+/+	AT3G04730.1	1	236	10	230	259.225	150	174	19	236	231
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.19G245200.1.p	Glyma.19G245200.1.p	G.max Wm82.a4.v1	1.07e-86	63	238	+/+	AT3G04730.1	1	236	10	230	259.225	150	174	19	236	231
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.20G187100.1.p	GlysoPI483463.20G187100.1.p	G.soja v1.1	2.75e-85	61	254	+/+	AT3G04730.1	1	236	1	227	255.373	154	176	45	236	228
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.20G225000.1.p	Glyma.20G225000.1.p	G.max Wm82.a4.v1	2.75e-85	60	254	+/+	AT3G04730.1	1	236	1	227	255.373	153	175	45	236	228
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj1g0024576.1	Lj1g0024576.1	L.japonicus Lj1.0v1	8.69e-84	60	254	+/+	AT3G04730.1	2	236	16	257	252.677	153	179	31	236	258
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.02G124500.1.p	GlysoPI483463.02G124500.1.p	G.soja v1.1	8.33e-83	57	259	+/+	AT3G04730.1	4	236	3	246	249.595	148	168	41	236	247
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.02G142500.3.p	Glyma.02G142500.3.p	G.max Wm82.a4.v1	8.33e-83	57	259	+/+	AT3G04730.1	4	236	3	246	249.595	148	168	41	236	247
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g070520.1	Medtr1g070520.1	M.truncatula Mt4.0v1	1.59e-82	59	246	+/+	AT3G04730.1	4	236	15	245	248.825	146	174	28	236	246
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g080860.2	Medtr1g080860.2	M.truncatula Mt4.0v1	4.88e-82	62	238	+/+	AT3G04730.1	1	224	14	241	247.669	147	164	24	236	244
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G14550.2	AT4G14550.2	A.thaliana Araport11	6.14e-82	62	233	+/+	AT3G04730.1	2	224	1	216	247.284	144	171	27	236	235
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.19G124900.1.p	GlysoPI483463.19G124900.1.p	G.soja v1.1	1.06e-81	57	261	+/+	AT3G04730.1	2	236	10	252	247.284	150	174	44	236	253
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.19G161100.1.p	Glyma.19G161100.1.p	G.max Wm82.a4.v1	1.06e-81	57	261	+/+	AT3G04730.1	2	236	10	252	247.284	150	174	44	236	253
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT1G04250.1	AT1G04250.1	A.thaliana Araport11	4.94e-81	58	246	+/+	AT3G04730.1	2	236	7	229	244.588	143	171	34	236	230
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g093240.2	Medtr1g093240.2	M.truncatula Mt4.0v1	7.08e-80	63	230	+/+	AT3G04730.1	2	224	8	224	241.891	145	169	20	236	240
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.03G123700.1.p	GlysoPI483463.03G123700.1.p	G.soja v1.1	8.48e-80	59	258	+/+	AT3G04730.1	2	236	11	254	242.276	152	173	37	236	255
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.03G158700.1.p	Glyma.03G158700.1.p	G.max Wm82.a4.v1	8.48e-80	59	258	+/+	AT3G04730.1	2	236	11	254	242.276	152	173	37	236	255
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.10G029400.1.p	GlysoPI483463.10G029400.1.p	G.soja v1.1	3.18e-79	59	261	+/+	AT3G04730.1	4	236	3	248	240.736	153	173	43	236	249
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.10G031900.1.p	Glyma.10G031900.1.p	G.max Wm82.a4.v1	3.18e-79	59	261	+/+	AT3G04730.1	4	236	3	248	240.736	153	173	43	236	249
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj5g0007982.1	Lj5g0007982.1	L.japonicus Lj1.0v1	8.31e-79	61	253	+/+	AT3G04730.1	1	233	15	265	240.35	155	183	22	236	267
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj5g0019198.1	Lj5g0019198.1	L.japonicus Lj1.0v1	1.43e-77	70	164	+/+	AT3G04730.1	73	236	115	263	236.884	115	131	15	236	264
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr7g096090.1	Medtr7g096090.1	M.truncatula Mt4.0v1	1.25e-75	54	257	+/+	AT3G04730.1	2	236	11	250	231.491	140	170	39	236	251
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.10G031900.3.p	Glyma.10G031900.3.p	G.max Wm82.a4.v1	3.84e-75	58	261	+/+	AT3G04730.1	4	236	3	247	230.335	151	171	44	236	248
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr6g488150.1	Medtr6g488150.1	M.truncatula Mt4.0v1	1.15e-70	50	256	+/+	AT3G04730.1	2	235	15	253	219.164	129	166	39	236	255
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G23050.2	AT3G23050.2	A.thaliana Araport11	3.02e-70	58	215	+/+	AT3G04730.1	1	204	5	210	216.468	125	150	20	236	211
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G14550.3	AT4G14550.3	A.thaliana Araport11	1.60e-67	59	212	+/+	AT3G04730.1	2	203	1	195	209.149	126	151	27	236	197
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g093240.3	Medtr1g093240.3	M.truncatula Mt4.0v1	5.28e-66	60	210	+/+	AT3G04730.1	2	204	8	204	205.682	127	150	20	236	205
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G29080.1	AT4G29080.1	A.thaliana Araport11	1.07e-65	47	276	+/+	AT3G04730.1	2	235	38	304	208.379	131	161	51	236	306
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.09G193000.1.p	Glyma.09G193000.1.p	G.max Wm82.a4.v1	5.33e-64	61	165	+/+	AT3G04730.1	73	235	158	306	203.756	100	118	18	236	308
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.05G229300.1.p	Glyma.05G229300.1.p	G.max Wm82.a4.v1	9.08e-64	47	282	+/+	AT3G04730.1	2	235	22	286	202.601	132	162	65	236	288
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr5g030710.1	Medtr5g030710.1	M.truncatula Mt4.0v1	1.11e-63	60	166	+/+	AT3G04730.1	73	236	184	335	204.142	99	119	16	236	336
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr5g030710.2	Medtr5g030710.2	M.truncatula Mt4.0v1	1.11e-63	60	166	+/+	AT3G04730.1	73	236	184	335	204.142	99	119	16	236	336
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.05G196100.1.p	GlysoPI483463.05G196100.1.p	G.soja v1.1	1.36e-63	47	282	+/+	AT3G04730.1	2	235	22	286	202.216	132	162	65	236	288
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.08G033800.1.p	GlysoPI483463.08G033800.1.p	G.soja v1.1	2.54e-63	45	288	+/+	AT3G04730.1	2	235	84	356	203.756	131	161	69	236	358
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.08G036400.1.p	Glyma.08G036400.1.p	G.max Wm82.a4.v1	2.54e-63	45	288	+/+	AT3G04730.1	2	235	84	356	203.756	131	161	69	236	358
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.09G151700.1.p	GlysoPI483463.09G151700.1.p	G.soja v1.1	2.92e-63	60	165	+/+	AT3G04730.1	73	235	158	306	202.216	99	117	18	236	308
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj4g0021637.1	Lj4g0021637.1	L.japonicus Lj1.0v1	1.43e-62	46	296	+/+	AT3G04730.1	2	236	24	303	200.29	136	166	77	236	304
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.13G356600.1.p	Glyma.13G356600.1.p	G.max Wm82.a4.v1	4.87e-62	60	165	+/+	AT3G04730.1	73	235	156	306	198.749	99	115	16	236	308
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.15G016300.1.p	GlysoPI483463.15G016300.1.p	G.soja v1.1	1.06e-61	43	298	+/+	AT3G04730.1	2	235	35	318	198.364	129	155	78	236	320
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.15G017500.1.p	Glyma.15G017500.1.p	G.max Wm82.a4.v1	1.06e-61	43	298	+/+	AT3G04730.1	2	235	35	318	198.364	129	155	78	236	320
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.13G304400.1.p	GlysoPI483463.13G304400.1.p	G.soja v1.1	1.75e-61	59	165	+/+	AT3G04730.1	73	235	156	306	197.593	98	115	16	236	308
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj2g0018097.2	Lj2g0018097.2	L.japonicus Lj1.0v1	2.38e-61	60	172	+/+	AT3G04730.1	73	235	155	307	197.208	104	120	28	236	309
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr8g103030.1	Medtr8g103030.1	M.truncatula Mt4.0v1	4.24e-61	60	166	+/+	AT3G04730.1	73	235	143	292	196.052	100	121	19	236	294
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.01G018200.1.p	GlysoPI483463.01G018200.1.p	G.soja v1.1	7.15e-61	59	167	+/+	AT3G04730.1	73	236	207	359	197.593	98	120	17	236	360
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.01G019400.2.p	Glyma.01G019400.2.p	G.max Wm82.a4.v1	7.15e-61	59	167	+/+	AT3G04730.1	73	236	207	359	197.593	98	120	17	236	360
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.06G083600.1.p	GlysoPI483463.06G083600.1.p	G.soja v1.1	8.51e-60	58	166	+/+	AT3G04730.1	73	236	211	361	194.897	96	121	17	236	362
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.06G091700.4.p	Glyma.06G091700.4.p	G.max Wm82.a4.v1	8.60e-60	58	166	+/+	AT3G04730.1	73	236	211	361	194.897	96	121	17	236	362
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.06G091700.3.p	Glyma.06G091700.3.p	G.max Wm82.a4.v1	8.60e-60	58	166	+/+	AT3G04730.1	73	236	211	361	194.897	96	121	17	236	362
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr2g101500.1	Medtr2g101500.1	M.truncatula Mt4.0v1	9.16e-60	58	165	+/+	AT3G04730.1	73	235	175	325	193.741	96	115	16	236	327
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj2g0007769.1	Lj2g0007769.1	L.japonicus Lj1.0v1	1.02e-59	58	166	+/+	AT3G04730.1	73	236	197	347	194.126	97	123	17	236	348
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.01G076600.1.p	GlysoPI483463.01G076600.1.p	G.soja v1.1	1.13e-59	58	165	+/+	AT3G04730.1	73	235	200	349	194.126	96	123	17	236	351
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.01G098000.3.p	Glyma.01G098000.3.p	G.max Wm82.a4.v1	1.13e-59	58	165	+/+	AT3G04730.1	73	235	200	349	194.126	96	123	17	236	351
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.01G098000.4.p	Glyma.01G098000.4.p	G.max Wm82.a4.v1	1.13e-59	58	165	+/+	AT3G04730.1	73	235	200	349	194.126	96	123	17	236	351
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.01G098000.5.p	Glyma.01G098000.5.p	G.max Wm82.a4.v1	1.13e-59	58	165	+/+	AT3G04730.1	73	235	200	349	194.126	96	123	17	236	351
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.01G098000.6.p	Glyma.01G098000.6.p	G.max Wm82.a4.v1	1.13e-59	58	165	+/+	AT3G04730.1	73	235	200	349	194.126	96	123	17	236	351
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.09G161100.1.p	GlysoPI483463.09G161100.1.p	G.soja v1.1	1.31e-59	58	166	+/+	AT3G04730.1	73	235	202	353	194.126	96	119	17	236	355
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.09G203300.1.p	Glyma.09G203300.1.p	G.max Wm82.a4.v1	1.43e-59	58	166	+/+	AT3G04730.1	73	235	202	353	194.126	96	119	17	236	355
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr8g067530.1	Medtr8g067530.1	M.truncatula Mt4.0v1	1.60e-59	59	166	+/+	AT3G04730.1	73	236	206	356	194.126	98	123	17	236	357
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.04G089900.2.p	Glyma.04G089900.2.p	G.max Wm82.a4.v1	2.28e-59	59	166	+/+	AT3G04730.1	73	236	210	360	193.741	98	120	17	236	361
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.04G089900.1.p	Glyma.04G089900.1.p	G.max Wm82.a4.v1	2.28e-59	59	166	+/+	AT3G04730.1	73	236	210	360	193.741	98	120	17	236	361
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.08G273500.1.p	Glyma.08G273500.1.p	G.max Wm82.a4.v1	2.88e-59	58	165	+/+	AT3G04730.1	73	235	200	349	192.971	96	123	17	236	351
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.08G273500.2.p	Glyma.08G273500.2.p	G.max Wm82.a4.v1	2.88e-59	58	165	+/+	AT3G04730.1	73	235	200	349	192.971	96	123	17	236	351
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.08G243300.1.p	GlysoPI483463.08G243300.1.p	G.soja v1.1	3.27e-59	58	165	+/+	AT3G04730.1	73	235	200	349	192.971	96	123	17	236	351
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.04G082100.1.p	GlysoPI483463.04G082100.1.p	G.soja v1.1	3.40e-59	59	165	+/+	AT3G04730.1	73	235	210	359	193.356	98	119	17	236	361
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT5G65670.2	AT5G65670.2	A.thaliana Araport11	1.28e-58	43	291	+/+	AT3G04730.1	2	236	61	336	191.045	126	163	71	236	337
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.14G146400.1.p	GlysoPI483463.14G146400.1.p	G.soja v1.1	1.35e-58	58	165	+/+	AT3G04730.1	73	235	217	366	191.815	96	118	17	236	368
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.14G185400.1.p	Glyma.14G185400.1.p	G.max Wm82.a4.v1	1.35e-58	58	165	+/+	AT3G04730.1	73	235	217	366	191.815	96	118	17	236	368
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.02G180600.1.p	GlysoPI483463.02G180600.1.p	G.soja v1.1	2.61e-58	60	165	+/+	AT3G04730.1	73	235	216	365	191.045	99	115	17	236	367
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.02G218100.3.p	Glyma.02G218100.3.p	G.max Wm82.a4.v1	2.61e-58	60	165	+/+	AT3G04730.1	73	235	216	365	191.045	99	115	17	236	367
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.02G218100.1.p	Glyma.02G218100.1.p	G.max Wm82.a4.v1	2.61e-58	60	165	+/+	AT3G04730.1	73	235	216	365	191.045	99	115	17	236	367
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/LjContig00408g0010987.2	LjContig00408g0010987.2	L.japonicus Lj1.0v1	3.16e-58	57	166	+/+	AT3G04730.1	73	236	201	351	190.66	95	118	17	236	352
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.08G203100.2.p	Glyma.08G203100.2.p	G.max Wm82.a4.v1	3.93e-58	43	291	+/+	AT3G04730.1	2	235	27	304	188.734	125	160	70	236	306
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.08G186400.1.p	GlysoPI483463.08G186400.1.p	G.soja v1.1	4.60e-58	43	291	+/+	AT3G04730.1	2	235	44	321	189.119	125	160	70	236	323
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.08G203100.1.p	Glyma.08G203100.1.p	G.max Wm82.a4.v1	4.60e-58	43	291	+/+	AT3G04730.1	2	235	44	321	189.119	125	160	70	236	323
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr5g067350.1	Medtr5g067350.1	M.truncatula Mt4.0v1	7.49e-58	58	163	+/+	AT3G04730.1	73	235	199	346	189.504	95	114	15	236	348
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT2G22670.3	AT2G22670.3	A.thaliana Araport11	9.33e-58	42	286	+/+	AT3G04730.1	2	235	47	318	188.348	121	157	66	236	322
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT2G22670.1	AT2G22670.1	A.thaliana Araport11	9.33e-58	42	286	+/+	AT3G04730.1	2	235	47	318	188.348	121	157	66	236	322
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.07G018100.2.p	Glyma.07G018100.2.p	G.max Wm82.a4.v1	1.03e-57	42	290	+/+	AT3G04730.1	2	235	26	301	187.578	122	156	70	236	303
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.07G015800.1.p	GlysoPI483463.07G015800.1.p	G.soja v1.1	1.37e-57	42	290	+/+	AT3G04730.1	2	235	43	318	187.963	122	156	70	236	320
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.07G018100.1.p	Glyma.07G018100.1.p	G.max Wm82.a4.v1	1.37e-57	42	290	+/+	AT3G04730.1	2	235	43	318	187.963	122	156	70	236	320
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT2G22670.4	AT2G22670.4	A.thaliana Araport11	1.63e-57	42	286	+/+	AT3G04730.1	2	235	64	335	188.348	121	157	66	236	339
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT5G65670.1	AT5G65670.1	A.thaliana Araport11	1.34e-56	43	293	+/+	AT3G04730.1	2	236	61	338	186.037	126	163	73	236	339
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.08G036400.2.p	Glyma.08G036400.2.p	G.max Wm82.a4.v1	9.54e-56	44	277	+/+	AT3G04730.1	2	224	21	282	182.185	122	150	69	236	291
